Time,APP,Intention,Event
2024-10-25 23:52:34.479,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-25 23:55:07.965,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-26 00:03:20.847,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 00:05:12.124,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 00:21:03.809,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 00:28:23.897,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 00:56:37.733,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 01:40:34.389,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 01:45:07.198,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 02:39:05.948,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 02:42:41.233,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 02:55:42.868,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:01:21.037,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:22:56.052,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:31:19.763,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:39:21.794,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:43:49.722,荣耀-计算器,Open 百度网盘，browse the cloud drive folder '我的文件'.,Tool
2024-10-26 03:44:58.414,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:46:18.977,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 03:52:32.492,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:56:48.809,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 03:58:02.748,京东,Search on 京东 and purchase the iPhone 15 Pro Max手机.,E-commerce platform
2024-10-26 04:04:48.777,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 04:07:51.637,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 04:18:47.748,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 04:20:30.950,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-26 04:20:44.269,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 04:42:56.610,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 06:43:51.587,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 06:53:01.641,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 07:15:35.648,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 07:23:51.854,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 07:35:14.727,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 07:35:30.775,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 07:41:41.423,荣耀-联系人,Open the contacts,Message
2024-10-26 07:47:35.711,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 07:52:52.448,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 08:21:07.500,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-26 10:14:11.738,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 11:35:24.828,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 11:38:57.551,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 12:02:50.444,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 18:00:32.844,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 18:23:03.096,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 18:58:35.967,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 19:55:41.150,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 21:10:43.826,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 22:45:20.568,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-26 22:47:35.416,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 23:05:04.253,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-26 23:07:09.529,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 23:25:35.456,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 23:34:24.052,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 23:36:49.069,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-26 23:49:06.740,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-26 23:51:49.626,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 00:20:29.464,荣耀-联系人,Open the contacts,Message
2024-10-27 00:20:35.609,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 00:39:35.553,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 01:32:22.988,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 03:00:13.481,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 03:16:11.547,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 03:34:21.544,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 03:43:47.114,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 03:52:41.114,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-27 03:52:55.927,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 06:04:47.474,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 06:47:23.204,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 06:52:51.246,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 06:53:09.140,荣耀-日历,Open the calendar app to check the holiday schedule for the current month.,Check calendar
2024-10-27 06:53:20.085,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-27 06:54:08.939,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 07:12:20.098,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 07:53:29.885,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 07:59:54.224,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 08:15:26.173,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 10:13:00.886,荣耀-联系人,Open the contacts,Message
2024-10-27 10:18:30.387,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 11:02:27.916,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 11:52:51.930,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 11:55:14.592,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 12:01:34.059,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 12:08:03.022,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 12:09:16.790,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 12:22:02.291,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 12:23:19.634,华为-应用市场,Open 华为应用市场，download 抖音.,App Center
2024-10-27 12:23:27.540,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 12:48:53.699,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 13:05:56.304,WiFi万能钥匙,Use WiFi万能钥匙 to connect to available free wireless networks.,Tool
2024-10-27 13:06:06.487,华为-快应用中心,Use the warm color flashlight app to illuminate in dark environments.,Tool
2024-10-27 13:06:48.556,手机百度,Open your phone's 百度 to browse the latest domestic news.,Use browser
2024-10-27 13:08:43.625,京东,Search on 京东 and purchase the iPhone 15 Pro Max手机.,E-commerce platform
2024-10-27 13:09:39.775,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 13:13:21.007,荣耀-图库,Use 美图秀秀 to whiten photos and add filter effects.,Image enhancement
2024-10-27 13:14:18.519,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 13:41:22.881,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 18:24:31.272,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 18:24:55.720,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 19:03:49.175,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 19:31:16.036,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-27 19:42:34.962,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 19:43:03.159,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 19:54:52.584,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 19:59:54.117,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 20:08:49.145,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 20:28:11.741,荣耀-计算器,Use the file management app to move important files to the specified folder.,Tool
2024-10-27 22:40:46.359,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 22:44:40.939,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 23:14:31.850,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-27 23:18:35.910,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-27 23:18:49.610,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-27 23:35:15.308,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-27 23:45:07.186,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 00:36:59.789,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 01:17:17.460,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 01:18:33.210,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 01:43:17.312,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 02:30:47.915,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 02:34:34.808,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-28 02:35:52.834,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 02:38:59.910,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 02:52:10.315,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-28 02:52:35.323,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-28 05:23:30.098,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 06:03:11.172,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 06:59:48.973,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 07:25:38.167,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-28 07:29:23.305,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 07:32:18.950,荣耀-联系人,Open the contacts,Message
2024-10-28 07:33:21.055,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 09:46:41.286,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 10:32:41.175,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 10:50:58.385,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 12:08:22.412,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 12:30:36.642,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-28 18:33:14.550,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 19:33:46.240,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 20:04:45.493,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 21:04:36.617,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 23:15:39.009,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-28 23:16:16.059,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 23:25:24.242,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 23:48:16.551,荣耀-相机,Use the beauty camera to take a selfie of yourself in the park.,Take photo
2024-10-28 23:51:54.273,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-28 23:53:14.261,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-28 23:55:26.433,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 00:02:36.682,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 00:06:52.830,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 00:56:41.752,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 00:56:54.442,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 00:58:28.381,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 01:00:17.501,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 01:48:52.753,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 01:50:39.741,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:02:11.694,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:07:27.083,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 02:11:03.099,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 02:13:33.568,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:22:05.908,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:23:22.567,荣耀-联系人,Open the contacts,Message
2024-10-29 02:23:24.825,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 02:25:29.630,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:37:01.093,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 02:43:43.837,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 03:58:45.875,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 03:59:47.430,荣耀-联系人,Open the contacts,Message
2024-10-29 04:37:53.519,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 04:44:04.227,荣耀-计算器,Use the UnionPay Trusted Service Security Component to perform secure payment verification.,Tool
2024-10-29 05:17:16.057,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 05:17:26.863,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 05:17:39.085,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 05:29:17.819,荣耀-图库,Use 美图秀秀 to whiten photos and add filter effects.,Image enhancement
2024-10-29 05:37:25.778,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 06:52:02.136,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 06:54:34.651,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 07:22:37.362,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 07:24:27.557,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 07:24:49.880,荣耀-联系人,Open the contacts,Message
2024-10-29 07:25:44.532,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 08:07:20.301,荣耀-联系人,Open the contacts,Message
2024-10-29 08:10:29.423,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 08:43:37.945,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 09:41:57.440,荣耀-联系人,Open the contacts,Message
2024-10-29 10:26:33.420,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 10:30:27.249,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 10:30:34.677,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 10:36:16.174,荣耀-联系人,Open the contacts,Message
2024-10-29 10:36:28.099,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 10:41:32.517,荣耀-联系人,Open the contacts,Message
2024-10-29 10:43:58.807,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 10:49:50.787,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 10:50:58.470,荣耀-联系人,Open the contacts,Message
2024-10-29 10:52:58.235,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 10:54:59.018,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 10:55:16.569,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 11:13:14.763,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-29 11:15:08.578,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 11:22:30.750,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 11:22:38.634,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 11:36:51.461,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 12:03:12.885,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 12:12:51.728,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 17:16:44.670,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 17:18:57.270,荣耀-联系人,Open the contacts,Message
2024-10-29 17:20:20.986,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 17:21:25.663,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 17:26:52.636,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 18:26:37.088,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-29 18:41:12.063,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 19:07:22.417,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 19:23:25.820,荣耀-日历,Open the calendar app to check the holiday schedule for the current month.,Check calendar
2024-10-29 19:24:00.160,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 19:27:50.023,荣耀-联系人,Open the contacts,Message
2024-10-29 19:29:00.239,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 19:43:47.353,支付,Use Alipay to scan the QR code and pay for the lunch fee.,Payment
2024-10-29 20:08:00.409,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 20:17:12.374,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 20:21:20.031,荣耀-日历,Open the calendar app to check the holiday schedule for the current month.,Check calendar
2024-10-29 20:22:05.594,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 21:29:31.460,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 21:29:39.500,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 21:40:21.528,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 21:40:58.523,拼多多,Open 拼多多，search and purchase iPhone 15.,E-commerce platform
2024-10-29 22:47:18.582,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:06:28.726,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:13:47.976,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 23:20:14.051,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-29 23:20:28.680,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:28:47.603,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 23:29:14.675,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:30:14.771,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-29 23:30:52.445,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:35:07.324,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-29 23:49:32.234,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 00:00:38.076,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-30 00:04:39.924,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-30 00:09:33.763,荣耀-快服务中心,Use the UnionPay Trusted Service Security Component to perform secure payment verification.,Tool
2024-10-30 02:38:12.597,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-30 02:53:47.896,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 02:53:55.543,酷狗音乐,Open 酷狗音乐 and play a playlist randomly.,Listen music
2024-10-30 03:00:55.332,荣耀-计算器,Use the file management app to move important files to the specified folder.,Tool
2024-10-30 03:04:20.684,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-30 03:04:31.269,今日头条,Open 今日头条 and check the latest international news updates.,Watch news
2024-10-30 03:08:30.819,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 03:22:12.664,断开蓝牙耳机,Use the phone settings to disconnect the Bluetooth earphones.,Disconnecting earbuds
2024-10-30 07:00:02.161,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-30 07:10:20.905,荣耀-闹钟,Use the alarm app to set an alarm for 7 a.m. tomorrow.,Set Alarm
2024-10-30 07:10:51.428,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 07:34:52.356,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 07:42:09.945,荣耀-联系人,Open the contacts,Message
2024-10-30 07:44:34.343,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 07:58:20.035,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 08:07:11.470,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 08:32:24.010,荣耀-联系人,Open the contacts,Message
2024-10-30 08:36:59.588,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 08:50:27.511,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 08:59:40.532,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 09:31:46.269,拼多多,Open 拼多多，search and purchase iPhone 15.,E-commerce platform
2024-10-30 09:31:56.691,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 09:36:41.003,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 09:37:21.059,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 10:03:12.163,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 10:13:42.993,抖音短视频,Open 抖音短视频.,Watch videos
2024-10-30 10:23:13.329,华为-应用市场,Open 华为应用市场，download 抖音.,App Center
2024-10-30 10:25:15.754,APP开发,Use 番茄钟App to focus on work for 25 minutes.,Efficiency
2024-10-30 10:29:32.786,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 10:31:23.573,APP开发,Use 番茄钟App to focus on work for 25 minutes.,Efficiency
2024-10-30 10:32:48.286,百度地图,Use 百度地图 to find the driving route from 深圳罗湖 to 广州塔.,Check map
2024-10-30 10:33:13.671,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 10:36:31.689,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 10:36:38.497,APP开发,Use 番茄钟App to focus on work for 25 minutes.,Efficiency
2024-10-30 10:41:02.050,荣耀-信息,Check the latest messages received on the phone.,Message
2024-10-30 10:44:25.939,APP开发,Use 番茄钟App to focus on work for 25 minutes.,Efficiency
